000,0049
001,0001
002,0002
003,0000
004,0000
005,0004
006,0003
007,0008
008,0004
009,0010
010,0010
011,0014
012,0018
013,0014
014,0030
015,0029
016,0038
017,0046
018,0053
019,0039
020,0039
021,0027
022,0031
023,0031
024,0025
025,0026
026,0020
027,0018
028,0012
029,0017
030,0023
031,0026
032,0027
033,0022
034,0014
035,0021
036,0017
037,0017
038,0015
039,0026
040,0021
041,0025
042,0026
043,0021
044,0025
045,0013
046,0016
047,0021
048,0018
049,0008
050,0020
051,0026
052,0019
053,0023
054,0011
055,0022
056,0023
057,0023
058,0019
059,0020
060,0022
061,0020
062,0025
063,0023
064,0023
065,0011
066,0028
067,0024
068,0021
069,0019
070,0017
071,0028
072,0018
073,0013
074,0028
075,0030
076,0024
077,0024
078,0032
079,0027
080,0026
081,0031
082,0021
083,0025
084,0023
085,0017
086,0022
087,0014
088,0026
089,0018
090,0019
091,0020
092,0018
093,0023
094,0009
095,0017
096,0012
097,0008
098,0016
099,0016
100,0014
101,0012
102,0014
103,0011
104,0017
105,0013
106,0005
107,0013
108,0006
109,0010
110,0011
111,0008
112,0005
113,0006
114,0010
115,0007
116,0009
117,0010
118,0011
119,0003
120,0008
121,0006
122,0009
123,0005
124,0012
125,0009
126,0006
127,0008
128,0008
129,0005
130,0005
131,0003
132,0003
133,0007
134,0002
135,0002
136,0005
137,0001
138,0002
139,0006
140,0006
141,0007
142,0010
143,0002
144,0006
145,0003
146,0003
147,0008
148,0003
149,0003
150,0006
151,0007
152,0004
153,0004
154,0008
155,0003
156,0002
157,0003
158,0005
159,0004
160,0001
161,0005
162,0004
163,0004
164,0002
165,0004
166,0002
167,0004
168,0001
169,0002
170,0002
171,0002
172,0004
173,0001
174,0001
175,0002
176,0002
177,0003
178,0001
179,0000
180,0000
181,0002
182,0003
183,0002
184,0003
185,0002
186,0001
187,0000
188,0002
189,0001
190,0001
191,0000
192,0000
193,0001
194,0002
195,0001
196,0002
197,0002
198,0001
199,0000
200,0000
201,0001
202,0001
203,0000
204,0000
205,0000
206,0000
207,0000
208,0003
209,0000
210,0002
211,0000
212,0000
213,0000
214,0000
215,0001
216,0001
217,0000
218,0000
219,0000
220,0000
221,0000
222,0000
223,0000
224,0000
225,0001
226,0000
227,0000
228,0000
229,0000
230,0000
231,0000
232,0000
233,0000
234,0000
235,0000
236,0000
237,0000
238,0000
239,0000
240,0001
241,0000
242,0000
243,0000
244,0000
245,0000
246,0000
247,0000
248,0000
249,0000
250,0000
251,0000
252,0000
253,0000
254,0000
255,0048
